ID,DESCRICAO,timestamp,ESTOQUE,UNIDADE,LOJA,CATEGORIA,MARCA,QUALIDADE,QTD,URL,TAMANHO
id_131,Fralda Huggies Supreme Care Hiper Xg Com 56 Unidades,2024-12-03 13:55:33,True,1.48,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,56,https://shopping.inter.co/Fralda-Huggies-Supreme-Care/p/5992141,XG
id_132,Kit Fralda Huggies Supreme Care XG 52 Tiras,2024-12-03 13:55:33,True,1.94,INTER SHOP,fraldas,HUGGIES,SUPREME CARE,52,https://shopping.inter.co/Kit-Fralda-Huggies-Supreme/p/2341688,XG
id_6,FRALDA PAMPERS CONFORT SEC JUMBO XG 116 UNIDADES,2024-12-03 17:10:25,True,1.4,PANVEL,fraldas,PAMPERS,CONFORT SEC,116,https://www.panvel.com/panvel/fralda-pampers-confort-sec-jumbo-xg-116-unidades/p-104280,XG
id_4,FRALDA PAMPERS CONFORT SEC MAX XG COM 88 UNIDADES,2024-12-03 17:10:25,True,1.5,PANVEL,fraldas,PAMPERS,CONFORT SEC,88,https://www.panvel.com/panvel/fralda-pampers-confort-sec-max-xg-com-88-unidades/p-101643,XG
id_8,FRALDA PAMPERS SUPERSEC JUMBO XG COM 68 UNIDADES,2024-12-03 17:10:25,True,1.4,PANVEL,fraldas,PAMPERS,SUPERSEC,68,https://www.panvel.com/panvel/fralda-pampers-supersec-jumbo-xg-com-68-unidades/p-109414,XG
id_3,FRALDA HUGGIES SUPREME CARE HIPER XG COM 56 UNIDADES,2024-12-03 17:10:25,True,1.25,PANVEL,fraldas,HUGGIES,SUPREME CARE,56,https://www.panvel.com/panvel/fralda-huggies-supreme-care-hiper-xg-com-56-unidades/p-100424,XG
id_13,FRALDA PAMPERS PREMIUM CARE BAG XG COM 60 UNIDADES,2024-12-03 17:10:25,True,2.33,PANVEL,fraldas,PAMPERS,PREMIUM CARE,60,https://www.panvel.com/panvel/fralda-pampers-premium-care-bag-xg-com-60-unidades/p-116404,XG
id_10,FRALDA HUGGIES TRIPLA PROTECAO MEGA XG COM 32 UNIDADES,2024-12-03 17:10:25,True,1.31,PANVEL,fraldas,HUGGIES,TRIPLA PROTECAO,32,https://www.panvel.com/panvel/fralda-huggies-tripla-protecao-mega-xg-com-32-unidades/p-111490,XG
id_9,FRALDA PAMPERS PANTS PREMIUM CARE XG COM 64 UNIDADES,2024-12-03 17:10:25,True,1.94,PANVEL,fraldas,PAMPERS,PREMIUM CARE,64,https://www.panvel.com/panvel/fralda-pampers-pants-premium-care-xg-com-64-unidades/p-110776,XG
id_7,FRALDA HUGGIES SUPREME CARE GIGA XG COM 112 UNIDADES,2024-12-03 17:10:25,True,1.34,PANVEL,fraldas,HUGGIES,SUPREME CARE,112,https://www.panvel.com/panvel/fralda-huggies-supreme-care-giga-xg-com-112-unidades/p-104751,XG
